,PC1,PC2,PC3,vaccine,words,tsne1,tsne2,tsne3,cluster,aa
4283,-0.621533834,0.106862038,0.334971157,No,european,-7.4115553,-18.103487,-20.107494,2,2
3888,-0.615986546,-0.228764082,0.345328819,No,drug,-0.7692322,-27.210342,-14.441507,2,2
8818,-0.602575354,-0.147332814,0.349448796,No,pharmaceutical,2.3082974,-19.91947,-21.07753,2,2
10481,-0.594217113,0.173957979,0.282201693,No,seeks,1.5751139,-21.488708,-15.7866335,2,2
8665,-0.585682502,-0.164249153,0.135681744,No,patent,-7.5447316,-17.163626,-18.846653,0,2
3570,-0.578746159,0.223401481,0.006563074,No,digital,-4.613563,-7.012908,-26.179691,0,2
1031,-0.57818533,0.029862876,0.438374383,No,amid,7.8588023,-16.189594,-19.10957,2,2
6342,-0.575933302,0.009532443,0.481563322,No,iran,0.09320136,-18.310026,-21.772402,2,2
6317,-0.571882731,0.152607538,0.141708447,No,investment,10.2116995,-13.154322,-19.387169,2,2
9820,-0.569412199,0.075026659,0.352970521,No,regulatory,6.722705,-22.760582,-16.122887,2,2
5132,-0.568344358,0.008290597,0.389224606,No,globally,-0.006869611,-23.468008,-18.961353,2,2
11093,-0.567652631,0.137778987,0.29207735,No,standard,-0.27563238,-23.941015,-18.299442,2,2
5129,-0.566812775,0.018548176,0.26522701,No,global,-9.262487,-10.31745,-23.090454,2,2
7273,-0.566135779,0.063622386,0.425352763,No,manufacturing,3.2251694,-18.849354,-21.104715,2,2
3891,-0.563159938,-0.286221702,0.289526551,No,drugs,-1.2338486,-27.344112,-14.128134,2,2
6924,-0.558709379,-0.215286019,0.137036002,No,leyen,-7.699139,-17.850025,-18.594212,0,2
3455,-0.558222277,-0.213371088,0.088783295,No,der,-7.6859875,-17.815157,-18.6664,0,2
10900,-0.558184304,0.087191673,-0.062869727,No,solutions,-4.499287,-6.5369334,-25.883379,0,2
12204,-0.557504139,0.325340297,0.341521809,No,un,14.012367,-14.1956835,-17.428448,2,2
12350,-0.555422843,-0.254392463,0.193582755,No,ursula,-7.7439995,-17.969545,-18.58067,2,2
9368,-0.552479446,0.136987782,0.046477203,No,proposal,-3.3805153,-8.564001,-18.980768,0,2
2251,-0.550313901,-0.084067085,0.069376482,No,catastrophic,-8.373084,-10.428491,-21.591965,0,2
12017,-0.54586334,-0.204021321,0.101725516,No,treatments,-1.6687001,-26.978731,-13.567594,0,2
1231,-0.54419722,0.042047276,0.050230703,No,approvals,-0.34524703,-22.0221,-15.119375,0,2
10539,-0.541910445,0.090546724,0.023966525,No,serialize,-4.137428,-6.3183317,-25.95908,0,2
1311,-0.541677388,0.141953718,0.231579327,No,asia,8.931427,-14.155474,-18.742128,2,2
3886,-0.541487158,-0.01665659,-0.034753344,No,drtedros,-8.103122,-10.374816,-21.647772,0,2
179,-0.54037319,-0.09164548,0.205081873,Yes,10/12/2020,-0.7776249,-24.954721,-10.334682,2,2
6002,-0.540168876,-0.019967621,0.291147337,No,import,-0.7999724,-17.415667,-21.49557,2,2
2724,-0.53929934,-0.027133279,0.236272486,No,commission,-7.457636,-18.048944,-19.756367,2,2
12590,-0.539074699,-0.226579792,0.094530794,No,von,-7.6934156,-17.826792,-18.54972,0,2
2179,-0.539005169,0.039616892,0.405781469,No,cansino,7.6339164,-20.35691,-13.402202,2,2
11652,-0.538110891,-0.172666226,0.067664663,No,terrorism,-18.141565,-16.277643,-12.889994,0,2
844,-0.535684939,0.207819154,0.260076542,No,africas,8.297721,-13.755697,-17.751265,2,2
6265,-0.535438235,-0.068436492,0.32672955,No,intention,-0.8893311,-17.427847,-21.58139,2,2
10222,-0.534557993,-0.164634177,0.06584919,No,sabotage,-18.15327,-16.322886,-12.258736,0,2
245,-0.533582864,-0.098848359,0.474089981,Yes,9/15/2020,1.7516353,-27.944118,-12.040525,2,2
4697,-0.531128326,-0.049733029,0.51605083,No,firm,4.234393,-24.035831,-11.87054,2,2
4960,-0.530643884,0.002776491,0.236540274,No,fund,-7.37906,-10.782148,-22.485687,2,2
9001,-0.52911057,0.146131359,-0.114641114,No,policy,-4.0284543,-12.113591,-26.20514,0,2
938,-0.526775725,0.006475672,0.228520496,No,alertunscworld,-0.775688,-17.279491,-21.382847,2,2
2840,-0.524804004,-0.018261304,0.490745593,No,confirms,-0.092396274,-18.156155,-21.833683,2,2
4424,-0.524670943,0.031357079,0.242864719,No,export,2.0789666,-16.37538,-19.443956,2,2
12446,-0.524184595,-0.151949664,0.025879352,No,vatican,-17.966238,-16.390854,-12.614827,0,2
6258,-0.523221998,-0.064168717,0.018610791,No,intelligence,-15.613912,-17.63556,-15.981742,0,2
2162,-0.52316728,0.003466125,0.178731756,No,canadas,-4.001533,-9.152673,-21.72665,2,2
2163,-0.522586431,-0.191173784,0.07908382,No,canadian,-6.763152,-13.860164,-20.490826,0,2
3745,-0.52116585,0.140984544,0.268815775,No,domestic,2.748194,-16.620544,-19.065813,2,2
9084,-0.52075038,-0.207653394,0.419449891,No,potential,-0.3857064,-27.09877,-14.768853,2,2
7435,-0.520471669,0.159079492,0.298371097,No,medicines,6.812842,-22.75511,-16.296875,2,2
9574,-0.51936697,-0.288902999,0.275608391,No,race,-0.32944423,-29.91015,-9.99422,2,2
183,-0.518270128,-0.157847338,0.44429688,Yes,10/16/2020,2.5113301,-26.930506,-11.649961,2,2
434,-0.518035463,-0.143323002,-0.088544777,No,4layers,-20.904165,-8.654265,-16.775171,0,2
6654,-0.516274364,-0.001360856,0.211114243,No,khamenei,-0.85877883,-17.358578,-21.267496,2,2
6480,-0.515564235,-0.146510496,0.085352365,No,jesuits,-18.060736,-16.379137,-12.756448,0,2
1880,-0.513381491,0.089927195,0.21976707,No,boost,-3.138704,-9.738266,-19.049358,2,2
9307,-0.512618672,0.006531863,0.605916467,No,production,3.501173,-18.59461,-21.09312,2,2
7296,-0.511948365,-0.202410394,0.430763054,No,market,7.511002,-21.04453,-1.2503569,2,2
11874,-0.511644903,-0.059472579,0.087925902,No,tokyo,-15.513725,-14.920457,-11.04017,0,2
9306,-0.510515835,-0.253488452,0.024529354,No,product,-3.255352,-26.131435,-11.153836,0,2
861,-0.510236577,0.281953736,0.164526877,No,agency,7.345191,-22.76524,-16.75606,2,2
6349,-0.510096543,0.013711721,0.197025499,No,irans,-0.8998708,-17.277815,-20.869808,2,2
4667,-0.51006571,0.214947215,0.093402432,No,finance,10.294681,-13.247669,-19.302965,0,2
3697,-0.508308011,-0.161135776,0.079854548,No,diversion,-18.152267,-16.34257,-12.401484,0,2
9818,-0.506088642,0.113061839,0.367678248,No,regulator,7.1958017,-22.267044,-14.999515,2,2
5390,-0.505045907,-0.010857291,0.216784474,No,hailed,-7.3272614,-16.977915,-21.64939,2,2
7925,-0.505019359,0.103439385,0.403416772,No,nations,3.3626275,-15.364738,-24.747055,2,2
7750,-0.504519919,-0.050510304,-0.161491558,No,moral,-8.170288,-10.126622,-21.388474,0,2
12295,-0.503786456,0.064789248,-0.044122385,No,unprecedented,-7.585678,-5.022374,-23.795622,0,2
238,-0.50362878,-0.183997873,0.22035503,Yes,8/28/2020,-0.45436755,-27.483143,-11.444496,2,2
2184,-0.503254227,0.229277836,0.441686262,No,capacity,3.71299,-16.96235,-21.541903,2,2
11125,-0.502455413,0.021065729,-0.020743806,No,statement,-4.431972,-4.16217,-28.20934,0,2
9504,-0.501934904,0.302481324,0.20374805,No,pvt,9.994758,-13.517709,-16.238108,2,2
9525,-0.501671042,0.062369126,0.015297562,No,quality,-1.6526294,-23.756739,-15.844254,0,2
3968,-0.501460587,-0.018739339,0.043806467,No,economic,-9.6777,-10.007137,-23.02027,0,2
3515,-0.501025183,-0.061026553,0.259913737,No,developing,0.6843051,-21.916298,-20.103119,2,2
11131,-0.500741924,-0.125463402,-0.101447421,No,static,-20.880404,-8.713075,-16.741438,0,2
2345,-0.500738571,0.13446503,0.090612254,No,chain,-3.9953153,-7.4037523,-25.027561,0,2
2455,-0.500457962,0.046215577,0.58436585,No,chinas,5.661213,-25.36155,-13.61533,2,2
235,-0.500348669,-0.221361713,0.487631454,Yes,8/25/2020,2.200886,-29.006704,-11.472116,2,2
11379,-0.499244769,0.049966617,0.123009709,No,suppliers,1.4917823,-15.321028,-18.62418,0,2
10290,-0.497882603,0.12162,0.09244708,No,sap,-3.4954917,-5.9392242,-26.483738,0,2
2813,-0.49769735,-0.157673135,0.20691808,No,concern,-1.052607,-24.90311,-19.623205,2,2
11239,-0.49757387,0.106697318,-0.045320506,No,strategies,-7.087391,-6.6197515,-23.622244,0,2
9798,-0.497365158,-0.071779336,0.19355735,No,regime,-1.3328646,-17.705086,-19.05927,2,2
12945,-0.496954401,-0.233754166,0.444252078,No,worldwide,0.24859892,-23.045584,-19.416643,2,2
7217,-0.495688433,0.171403106,0.335708557,No,maker,10.351261,-17.339771,-13.817264,2,2
7141,-0.494662341,0.239425686,0.383047041,No,ltd,10.820382,-18.030663,-13.099005,2,2
228,-0.494512428,-0.128920575,0.54794296,Yes,8/18/2020,2.8152518,-28.64298,-11.357356,2,2
7735,-0.493785746,-0.14408029,-0.101778236,No,monopoly,-8.028838,-9.496084,-19.962626,0,2
4699,-0.493228873,-0.042831314,0.237439103,No,firms,1.7760284,-16.614958,-18.934856,2,2
5211,-0.492900726,-0.00963853,0.079950617,No,governments,-1.8256509,-12.219722,-25.738707,0,2
4072,-0.492037923,0.002265119,0.11062694,No,ema,-1.6453269,-21.888916,-13.806377,0,2
249,-0.491534997,-0.215238499,0.474324022,Yes,9/19/2020,1.990481,-28.264732,-10.314044,2,2
237,-0.491129701,-0.159725542,0.428285468,Yes,8/27/2020,2.0453947,-28.819906,-12.002394,2,2
11378,-0.490280238,0.056403232,0.126311778,No,supplier,-0.24722897,-21.424557,-13.910993,0,2
257,-0.490136341,0.054796673,0.474073544,Yes,9/29/2020,4.5080247,-18.030489,-17.270952,2,2
12663,-0.490039445,0.046452121,0.016339016,No,warns,10.784201,5.580814,-26.17217,0,2
12968,-0.489890449,-0.164635028,-0.070265464,No,woven,-20.85972,-8.855497,-16.648487,0,2
9728,-0.489511798,0.088439267,0.219041591,No,recognised,-0.7481046,-24.421999,-18.162506,2,2
12271,-0.489138844,0.176366182,0.487339749,No,united,3.7930546,-16.480194,-21.777151,2,2
